商品ID,商品自定义ID,商品条形码,商品名称,货架号,所属品牌,前台一级分类,前台二级分类,后台一级分类,后台二级分类,后台三级分类,商品属性,销售价格,库存数量,是否上线,每单限购,商品类型,重量(g)
15761343810743208,,6935820200443,稻香村腰果酥145g,,稻香村,休闲零食,饼干点心,休闲食品,糕点类,酥饼/馅饼,,12,5,上线,不限购,标品,145
15761343820743873,,6934364801123,米老头蛋黄煎饼饼干原味150g,,米老头,休闲零食,饼干点心,休闲食品,糕点类,煎饼,,10,3,上线,不限购,标品,150
15761343820744015,,6920731701103,康师傅妙芙欧式蛋糕奶油味96g,,康师傅,休闲零食,饼干点心,休闲食品,糕点类,蛋糕,,8,5,上线,不限购,标品,96
15761343820744176,,6936022101095,湖珍6枚松花蛋336g,,湖珍,休闲零食,即食食品,肉禽蛋类,蛋品,鸡蛋,,15.5,0,上线,不限购,非标品,336
15761343820744261,,6903337002737,龙大绿豆宽粉160g,,龙大,粮油副食,米面,粮油米面,南北干货,粉丝/粉条,,11.5,3,上线,不限购,标品,160
15761343820744241,,6919892633101,康师傅3+2夹心苏打香浓奶油味125g,,康师傅,休闲零食,饼干点心,休闲食品,饼干类,夹心饼干,,6,4,上线,不限购,标品,125
15761343820744069,,6914782083219,徐福记卷心酥草莓味105g,,徐福记,休闲零食,饼干点心,休闲食品,糕点类,酥饼/馅饼,,8.5,5,上线,不限购,标品,105
15761343820743994,,6910019012588,雕牌清新柠檬洗洁精1.228kg,,纳爱斯,清洁洗护,清洁护理,日化用品,厨房清洁,洗洁精,,12.8,3,上线,不限购,标品,1228
15761343820744078,,6937885070139,润荷婴儿护肤柔湿巾启封装80片,,润荷,纸类用品,湿纸巾,母婴,婴儿护理清洁,婴儿纸巾/婴儿湿巾,,12,3,上线,不限购,标品,30
15761343820744365,,6952882381699,天鹭菌菇蛋花汤18g,,天鹭,方便食品,方便粥饭汤,便利食品,方便速食,蔬菜类汤料,,5.8,6,上线,不限购,非标品,18
15761343820744089,,6927462207959,金锣王中王70g,,金锣,方便食品,泡面伴侣,便利食品,方便速食,火腿肠,,3.5,11,上线,不限购,标品,70
15761343820744397,,6911988000293,达利园好吃点杏仁酥146g,,好吃点,休闲零食,饼干点心,休闲食品,饼干类,营养/消化饼干,,5,4,上线,不限购,标品,146
15761343820744270,,6901668053510,奥利奥巧脆卷香草口味55g,,奥利奥,休闲零食,饼干点心,休闲食品,饼干类,夹心饼干,,6,4,上线,不限购,标品,55
15761343820744111,,2000102550562,雀巢脆脆鲨9.9元惠享装1*1,,其他,休闲零食,饼干点心,其他,其他,其他,,9.9,3,上线,不限购,非标品,300
15761343820743983,,6935490261829,清嘴双果含片西柚+甜橙6.9g,,其他,休闲零食,糖果类,水果,柚子类,西柚,,7.8,5,上线,不限购,非标品,7
15761343820744045,,6923450690703,绿箭脆皮软心薄荷糖柠檬薄荷味80g,,绿箭,休闲零食,糖果类,休闲食品,糖果类,润喉糖,,12,3,上线,不限购,标品,80
15761343820744165,,6921204802099,欣和豆瓣酱800g,,欣和,粮油副食,调味料,调味品,调味酱,豆瓣酱,,14.9,0,上线,不限购,标品,800
15761343820744059,,6922742001616,沙土椒盐花生米110g,,沙土,休闲零食,干果炒货,粮油米面,杂粮粗粮,花生,,4.8,0,上线,不限购,标品,110
15761343820744101,,6936588315035,湘姿元武冈卤豆干香辣味25g,,其他,休闲零食,即食食品,休闲食品,豆制品,豆干类,,1.8,21,上线,不限购,非标品,30
15761343820744375,,6952882381323,天鹭杯装菠菜蛋汤8g,,天鹭,方便食品,方便粥饭汤,蔬菜,叶菜类,菠菜,,5.8,6,上线,不限购,非标品,8
15761343820744386,,6956416200425,美汁源酷儿香橙450ml,,可口可乐,酒水饮料,综合饮料,饮料,果汁饮料,单种果汁饮料,,4,5,上线,不限购,标品,450
15761343750741039,,4897022620516,京都念慈菴枇杷糖60g,,念慈菴,休闲零食,即食食品,休闲食品,糖果类,硬糖,,25,4,上线,不限购,标品,60
15761343820744311,,6932522000852,公社联盟蜜枣150g,,公社联盟,休闲零食,膨化食品,其他,其他,其他,,12,3,上线,不限购,非标品,150
15761343800743049,,6928607380537,川婆婆木耳原味200g,,川婆婆,粮油副食,腌渍酱品,调味品,调味酱,香菇酱,,13.8,4,上线,不限购,标品,200
15761343810743678,,6923450658079,5口香糖激酷薄荷32g,,5,休闲零食,糖果类,休闲食品,糖果类,口香糖,,6.5,7,上线,不限购,标品,32
15761343820743858,,6922507057353,康师傅冰糖山楂500ml,,龙虎,酒水饮料,综合饮料,饮料,果汁饮料,单种果汁饮料,,3.5,13,上线,不限购,标品,500
15761343800742773,,6939894812519,雪碧汽水清爽柠檬味1.25L,,可口可乐,酒水饮料,综合饮料,饮料,碳酸饮料,加味汽水,,6.8,10,上线,不限购,标品,1250
15761343810743291,,6901668004895,奥利奥巧轻脆薄片夹心饼干香草慕斯味95g,,奥利奥,休闲零食,饼干点心,休闲食品,饼干类,夹心饼干,,8,5,上线,不限购,标品,95
15761343780741932,,6923450690642,绿箭脆皮软心薄荷糖原味薄荷味80g,,绿箭,休闲零食,糖果类,休闲食品,糖果类,润喉糖,,12,6,上线,不限购,标品,80
15761343810743578,,6914782114371,熊博士口嚼糖草莓牛奶味52g,,徐福记,休闲零食,糖果类,休闲食品,糖果类,软糖,,4,12,上线,不限购,标品,52
15761343810743470,,6910019006518,雕牌超能皂226g,,纳爱斯,清洁洗护,清洁护理,日化用品,衣物清洁/护理,洗衣皂,,4,13,上线,不限购,标品,226
15761343820743907,,6919892880109,康师傅美味酥点点葱香味85g,,康师傅,休闲零食,饼干点心,休闲食品,饼干类,苏打饼干,,4,9,上线,不限购,标品,85
15761343820743896,,6914782083196,徐福记小丸煎饼鸡蛋味100g,,徐福记,休闲零食,饼干点心,休闲食品,糕点类,煎饼,,6.9,5,上线,不限购,标品,100
15761343810743650,,4718037133146,巧益鲜奶薄饼270g,,巧益,休闲零食,饼干点心,其他,其他,其他,,14,4,上线,不限购,非标品,270
15761343800743067,,6928607380513,川婆婆豆豉原味200g,,川婆婆,粮油副食,腌渍酱品,调味品,调味酱,豆豉酱,,13.8,4,上线,不限购,非标品,200
15761343800743058,,6928607380544,川婆婆木耳微辣200g,,川婆婆,粮油副食,腌渍酱品,蔬菜,菌菇类,黑木耳,,13.8,4,上线,不限购,非标品,200
15761343750740832,,6920907806359,好丽友木糖醇无糖口香糖西域水果味101g,,好丽友,休闲零食,糖果类,休闲食品,糖果类,口香糖,,18,5,上线,不限购,标品,101
15761343810743236,,6925332604198,米老头农夫小舍麦通芝麻味400g,,米老头,休闲零食,膨化食品,休闲食品,膨化食品,米通麦通,,18,4,上线,不限购,标品,400
15761343790742591,,6924693000564,元之源风味羊杂香辣味180g,,其他,休闲零食,即食食品,休闲食品,膨化食品,锅巴/烤馍/干脆面/拉面丸子,,14,0,上线,不限购,非标品,150
15761343800742741,,6921168594351,农夫山泉尖叫运动饮料白桃味550ml,,农夫山泉,酒水饮料,综合饮料,饮料,运动机能饮料,运动饮料,,4.5,7,上线,不限购,标品,550
15761343810743754,,6901668005915,奥利奥缤纷双果味夹心饼干蓝莓味+树莓味97g,,奥利奥,休闲零食,饼干点心,休闲食品,饼干类,夹心饼干,,7.9,5,上线,不限购,标品,97
15761343810743741,,6932522000951,公社联盟果蔬山楂条108g,,公社联盟,休闲零食,蜂蜜蜜饯,休闲食品,蜜饯果干类,山楂制品,,9.9,5,上线,不限购,非标品,108
15761343760741179,,6917878033099,雀巢咖啡丝滑拿铁即溶咖啡饮品20g,,雀巢,酒水饮料,冲调饮品,冲调,咖啡,速溶咖啡,,4,24,上线,不限购,标品,20
15761343810743305,,6901668005717,奥利奥原味夹心饼干116g,,奥利奥,休闲零食,饼干点心,休闲食品,饼干类,夹心饼干,,7.2,7,上线,不限购,标品,116
15761343790742599,,6924693000540,元之源风味羊杂香辣味200g,,其他,休闲零食,即食食品,休闲食品,膨化食品,锅巴/烤馍/干脆面/拉面丸子,,14,3,上线,不限购,非标品,200
15761343810743372,,6935498308793,冠芳山楂树下山楂果汁果肉饮料350ml,,山楂树下,酒水饮料,综合饮料,休闲食品,蜜饯果干类,山楂制品,,5.5,11,上线,不限购,标品,350
15761343810743199,,6935820200450,稻香村花生酥145g,,稻香村,休闲零食,饼干点心,休闲食品,糕点类,酥饼/馅饼,,12,5,上线,不限购,标品,145
15761343820743799,,6971187580033,行者摩卡咖啡饮料180ml,,行者,酒水饮料,综合饮料,冲调,咖啡,方便装杯装咖啡,,11,4,上线,不限购,标品,180
15761343800742972,,6910019010317,雕牌超能洗衣皂柠檬草226g,,纳爱斯,清洁洗护,清洁护理,日化用品,衣物清洁/护理,洗衣皂,,6.6,9,上线,不限购,标品,226
15761343810743391,,6926892501033,银鹭好粥道紫薯紫米粥280g,,银鹭,方便食品,方便粥饭汤,便利食品,方便速食,速食粥,,5,10,上线,不限购,标品,280
15761343800742966,,6911988009852,达利园好吃点谷野高纤粗粮饼168g,,龙路,休闲零食,饼干点心,休闲食品,饼干类,苏打饼干,,6.5,9,上线,不限购,标品,168
15761343790742658,,6927462219563,金锣肉粒多猪肉香肠60g,,金锣,方便食品,泡面伴侣,便利食品,方便速食,火腿肠,,3,16,上线,不限购,标品,70
15761343810743604,,6902022130960,蓝月亮茶清天然绿茶洗洁精500g,,蓝月亮,清洁洗护,清洁护理,日化用品,厨房清洁,洗洁精,,11.8,4,上线,不限购,标品,500
15761343790742427,,6921168593583,农夫山泉茶π柠檬红茶500ml,,农夫山泉,酒水饮料,综合饮料,饮料,茶饮料,红茶饮料,,5.5,9,上线,不限购,标品,500
15761343780741918,,6934990600237,沂蒙人家农家小菜1.08kg（180g*6瓶）,,沂蒙人家,南北干货,菌菇类,调味品,酱菜类,蔬菜类,,78,0,上线,不限购,非标品,1080
15761343810743717,,6919892633200,康师傅3+2夹心饼干香草巧克力味125g,,康师傅,休闲零食,饼干点心,休闲食品,饼干类,夹心饼干,,6,7,上线,不限购,标品,125
15761343820743804,,6911988006585,达利园可比克薯片烧烤味105g,,达利园,休闲零食,膨化食品,休闲食品,膨化食品,薯片/薯条/玉米片,,9,4,上线,不限购,标品,110
15761343790742612,,69029110,益达无糖口香糖热带水果味32g,,益达,休闲零食,糖果类,休闲食品,糖果类,口香糖,,7,4,上线,不限购,标品,32
15761343810743747,,6926358400108,百钻优级绵白糖400g,,百钻,粮油副食,调味料,调味品,调味料,绵白糖,,7.9,6,上线,不限购,标品,400
15761343800742817,,6922307205886,崂山山泉水3.78L,,崂山,酒水饮料,矿泉水,饮料,饮用水,矿泉水,,12.5,3,上线,不限购,标品,3780
15761343750741099,,6914782106147,徐福记400酥心糖400g,,徐福记,休闲零食,糖果类,休闲食品,糖果类,硬糖,,25,4,上线,不限购,标品,400
15761343790742540,,6901294177659,六神香皂芦荟125g,,六神,清洁洗护,洗发沐浴,个护清洁,洁肤,香皂,,5.5,11,上线,不限购,标品,125
15761343810743413,,6924693000595,元之源风味羊杂原味200g,,其他,休闲零食,即食食品,其他,其他,其他,,14,0,上线,不限购,非标品,200
15761343810743697,,6925332600046,米老头雪花煎卷椰奶味150g,,米老头,休闲零食,饼干点心,休闲食品,糕点类,蛋卷类,,6.5,4,上线,不限购,标品,150
15761343820743890,,6920441541006,可口可乐汽水2L,,可口可乐,酒水饮料,综合饮料,饮料,碳酸饮料,可乐,,7,5,上线,不限购,非标品,12000
15761343730740294,,6948195840367,金龙鱼多用途麦芯小麦粉5kg,,金龙鱼,粮油副食,米面,粮油米面,面粉类,中筋面粉,,48,3,上线,不限购,标品,5000
15761343680737108,,6903148045206,海飞丝去屑洗发露柔润滋养型750ml,,海飞丝,清洁洗护,洗发沐浴,个护清洁,洗发护发,洗发水/洗发露/洗发膏,,108,8,上线,不限购,标品,750
15761343820743809,,6911988006561,达利园可比克薯片番茄味105g,,达利园,休闲零食,膨化食品,休闲食品,膨化食品,薯片/薯条/玉米片,,9,5,上线,不限购,标品,110
15761343810743588,,6914782114395,熊博士口嚼糖鲜奶味52g,,徐福记,休闲零食,糖果类,休闲食品,糖果类,软糖,,4,11,上线,不限购,标品,52
15761343820743868,,6920907808018,好丽友蘑古力装饰饼干巧克力味48g,,好丽友,休闲零食,饼干点心,休闲食品,饼干类,燕麦/巧克力饼干,,5,7,上线,不限购,标品,48
15761343820743832,,6935855702080,都市牧场水蜜桃味无糖薄荷糖21.8g,,都市牧场,休闲零食,糖果类,休闲食品,糖果类,润喉糖,,6.9,6,上线,不限购,标品,22
15761343820743881,,6921168593613,农夫山泉水柚子530ml,,农夫山泉,酒水饮料,综合饮料,饮料,果汁饮料,单种果汁饮料,,4.5,6,上线,不限购,标品,530
15761343810743511,,6934364801390,米老头蛋黄煎饼牛奶味150g,,米老头,休闲零食,饼干点心,休闲食品,糕点类,煎饼,,10,4,上线,不限购,标品,150
15761343810743794,,6971187580026,行者拿铁咖啡饮料180ml,,行者,酒水饮料,综合饮料,饮料,咖啡饮料,咖啡/可可饮料,,11,4,上线,不限购,标品,180
15761343810743669,,6921168594368,农夫山泉尖叫运动饮料青芒味550ml,,农夫山泉,酒水饮料,综合饮料,饮料,运动机能饮料,运动饮料,,4.5,8,上线,不限购,标品,550
15761343820743863,,6923450658925,5口香糖魅幻蓝莓32g,,5,休闲零食,糖果类,休闲食品,糖果类,口香糖,,6.5,5,上线,不限购,标品,32
15761343810743712,,6952832810545,金喜燕手擀风味挂面1000g,,其他,粮油副食,米面,粮油米面,挂面/面条,普通挂面/面条,,7.9,3,上线,不限购,非标品,1000
15761343810743569,,6902022130342,蓝月亮芦荟抑菌洗手液300g,,蓝月亮,清洁洗护,清洁护理,个护清洁,洁肤,洗手液,,11.8,4,上线,不限购,标品,300
15761343810743705,,6926892528085,银鹭低糖莲子八宝粥360g,,银鹭,方便食品,方便粥饭汤,便利食品,方便速食,速食粥,,5,10,上线,不限购,标品,360
15761343810743449,,6919892656100,康师傅甜酥夹心饼干榛子巧克力味80g,,康师傅,休闲零食,饼干点心,休闲食品,饼干类,夹心饼干,,4.5,11,上线,不限购,标品,80
15761343810743630,,4718037133153,巧益酥脆蔬菜薄饼270g,,巧益,休闲零食,饼干点心,休闲食品,饼干类,苏打饼干,,14,4,上线,不限购,非标品,270
15761343790742154,,6971964410218,4号农场地瓜干100g,,其他,休闲零食,干果炒货,其他,其他,其他,,9.9,5,上线,不限购,非标品,100
15761343790742316,,6934990600206,沂蒙人家五谷杂粮3.0kg（300g*10袋）,,其他,粮油副食,米面,粮油米面,杂粮粗粮,杂粮组合,,70,0,上线,不限购,非标品,3000
15761343750741087,,6914782082434,徐福记沙琪玛鸡蛋香酥160g,,徐福记,休闲零食,饼干点心,休闲食品,糕点类,沙琪玛,,14,8,上线,不限购,标品,160
15761343790742678,,6923450662113,箭牌5弹立方口香糖净爽冰柠味18粒40g,,5,休闲零食,糖果类,休闲食品,糖果类,口香糖,,11.9,5,上线,不限购,标品,40
15761343800742706,,6901668005731,奥利奥草莓味夹心饼干116g,,奥利奥,休闲零食,饼干点心,休闲食品,饼干类,夹心饼干,,7.2,7,上线,不限购,标品,116
15761343790742325,,6903252084016,康师傅干拌面红烧牛肉(碗装)125g,,康师傅,方便食品,方便面/粉丝,便利食品,方便速食,方便面,,5.5,7,上线,不限购,标品,125
15761343780741986,,6911316224445,曼妥思夹心无糖口香糖冬青薄荷味56g,,曼妥思,休闲零食,糖果类,休闲食品,糖果类,口香糖,,12,6,上线,不限购,标品,56
15761343810743314,,6935490261850,清嘴双果含片荔枝+雪梨6.9g,,清嘴,休闲零食,糖果类,休闲食品,糖果类,硬糖,,7.8,6,上线,不限购,标品,7
15761343800742982,,6911316222007,曼妥思冻感粒方无糖口香糖薄荷味46g,,曼妥思,休闲零食,糖果类,休闲食品,糖果类,口香糖,,12.9,5,上线,不限购,标品,46
15761343810743253,,6909995103670,旺旺小小酥原味60g,,旺旺,休闲零食,膨化食品,休闲食品,膨化食品,米饼/雪饼,,4.5,11,上线,不限购,标品,60
15761343810743364,,6935820204786,稻香村杏仁瓦片160g,,稻香村,休闲零食,饼干点心,休闲食品,糕点类,酥饼/馅饼,,19,0,上线,不限购,标品,160
15761343800742992,,6935820201204,稻香村香葱鸡蛋卷150g,,稻香村,休闲零食,饼干点心,休闲食品,糕点类,蛋卷类,,16,4,上线,不限购,标品,150
15761343810743382,,6926892567084,银鹭薏仁红豆粥280g,,银鹭,方便食品,方便粥饭汤,便利食品,方便速食,速食粥,,5,10,上线,不限购,标品,280
15761343800742987,,6934221113031,开卫野山楂1kg,,开卫,酒水饮料,综合饮料,饮料,果汁饮料,单种果汁饮料,,11,11,上线,不限购,标品,1000
15761343800742764,,6937885018926,润荷婴儿护肤柔湿巾启封装20片,,其他,纸类用品,湿纸巾,母婴,婴儿护理清洁,婴儿纸巾/婴儿湿巾,,4.8,12,上线,不限购,非标品,200
15761343810743223,,6924693000571,元之源牛板筋烧烤味75g,,其他,休闲零食,即食食品,休闲食品,肉干肉脯,牛肉类,,15,4,上线,不限购,非标品,75
15761343800743019,,6917878009254,雀巢花生夹心威化20g,,雀巢,休闲零食,饼干点心,休闲食品,饼干类,威化饼干,,1.8,26,上线,不限购,标品,20
15761343800742977,,6911316224049,曼妥思夹心无糖口香糖清新薄荷味56g,,曼妥思,休闲零食,糖果类,休闲食品,糖果类,口香糖,,12,5,上线,不限购,标品,56
15761343810743404,,6901294179608,六神喷雾驱蚊花露水180ml,,六神,清洁洗护,清洁护理,日化用品,杀虫驱蚊,花露水/驱虫液,,23,0,上线,不限购,标品,180
15761343810743440,,6922456896362,康师傅冰红茶1L,,康师傅,酒水饮料,综合饮料,饮料,茶饮料,红茶饮料,,5.5,6,上线,不限购,标品,1000
15761343810743188,,6952882381392,天鹭杯装西红柿蛋汤8g,,天鹭,方便食品,方便粥饭汤,蔬菜,茄果类,番茄,,5.8,10,上线,不限购,非标品,8
15761343810743427,,6920208924288,康师傅大食桶酸菜牛肉面164g,,康师傅,方便食品,方便面/粉丝,便利食品,方便速食,方便面,,5.5,9,上线,不限购,标品,164
15761343800743040,,6928607380520,川婆婆豆豉微辣200g,,川婆婆,粮油副食,腌渍酱品,调味品,调味酱,豆豉酱,,13.8,4,上线,不限购,非标品,200
15761343760741194,,6941241592272,天下第一村果仁味黄金酥果仁味150g,,天下第一村,休闲零食,饼干点心,休闲食品,糕点类,酥饼/馅饼,,12,12,上线,不限购,非标品,150
15761343790742397,,6917790994010,安琪百钻单晶冰糖300g,,安琪,粮油副食,调味料,调味品,调味料,冰糖,,9,9,上线,不限购,非标品,300
15761343780742017,,6917878048260,雀巢优麦黑米黑芝麻燕麦片10*35g,,雀巢,酒水饮料,冲调饮品,冲调,冲饮品,冲饮谷物/麦片,,32,0,上线,不限购,标品,350
15761343790742438,,6935820204793,稻香村芝麻瓦片160g,,稻香村,休闲零食,饼干点心,休闲食品,糕点类,酥饼/馅饼,,18,0,上线,不限购,标品,160
15761343730740357,,6954018147490,原字弹Y7088－S3经典男袜3双,,其他,日用百货,,服饰鞋包,男女内衣/家居服,袜子,,21,13,上线,不限购,非标品,50
15761343800742696,,6922742020808,沙土焦糖瓜子258g,,沙土,休闲零食,干果炒货,休闲食品,坚果炒货,瓜子/瓜子仁,,10.8,0,上线,不限购,标品,258
15761343790742407,,6923450657638,益达木糖醇无糖口香糖清爽西瓜味56g,,益达,休闲零食,糖果类,休闲食品,糖果类,口香糖,,12,4,上线,不限购,标品,56
15761343800742718,,6901668005755,奥利奥巧克力味夹心饼干116g,,奥利奥,休闲零食,饼干点心,休闲食品,饼干类,夹心饼干,,7.2,8,上线,不限购,标品,116
15761343790742667,,6903252026061,康师傅香辣牛肉拌面135g,,康师傅,方便食品,方便面/粉丝,便利食品,方便速食,方便面,,5,4,上线,不限购,标品,135
15761343790742458,,6920731704302,康师傅妙芙欧式蛋糕香芋牛奶味96g,,康师傅,休闲零食,饼干点心,休闲食品,糕点类,蛋糕,,8,9,上线,不限购,标品,96
15761343790742346,,6925843403204,味达美味极鲜酱油1L,,欣和,粮油副食,调味料,调味品,调味汁,老抽,,19.8,3,上线,不限购,标品,1000
15761343790742162,,6921317905168,康师傅绿茶500ml,,康师傅,酒水饮料,综合饮料,饮料,茶饮料,绿茶饮料,,3.5,20,上线,不限购,标品,500
15761343790742552,,6939894812502,可口可乐汽水1.25L,,可口可乐,酒水饮料,综合饮料,饮料,碳酸饮料,可乐,,6,11,上线,不限购,标品,1250
15761343790742561,,6911988000170,达利园好吃点谷野高纤蔬菜168g,,龙须,休闲零食,饼干点心,休闲食品,饼干类,营养/消化饼干,,6.5,10,上线,不限购,标品,168
15761343780741992,,6911316223004,曼妥思冻感立方无糖口香糖热列果味46g,,曼妥思,休闲零食,糖果类,休闲食品,糖果类,口香糖,,12.9,5,上线,不限购,标品,46
15761343790742158,,6920907800210,好丽友蛋黄派138g,,好丽友,休闲零食,饼干点心,休闲食品,糕点类,派,,12,5,上线,不限购,标品,138
15761343790742449,,6903244370950,七度空间纯棉表层卫生巾(日用)10片,,七度空间,纸类用品,卫生用品,个护清洁,卫生护理,卫生巾,,11,4,上线,不限购,标品,300
15761343790742627,,6901009111053,梅林红烧猪肉340g,,梅林,方便食品,泡面伴侣,便利食品,罐头,肉类罐头,,23,0,上线,不限购,标品,340
15761343790742580,,6901294177024,六神花露水95ml,,六神,清洁洗护,清洁护理,日化用品,杀虫驱蚊,花露水/驱虫液,,9,6,上线,不限购,标品,95
15761343800742752,,6941241592289,天下第一村腰果味黄金酥腰果味150g,,天下第一村,休闲零食,饼干点心,休闲食品,坚果炒货,腰果类,,12,8,上线,不限购,非标品,150
15761343760741223,,6923450605738,绿箭无糖薄荷糖黑加仑子味23.8g,,绿箭,休闲零食,糖果类,休闲食品,糖果类,口香糖,,9.9,6,上线,不限购,标品,24
15761343730740223,,6903608005238,即墨老酒梅兰竹菊600ml*2,,其他,酒水饮料,酒类,其他,其他,其他,,237,0,上线,不限购,非标品,1200
15761343780741817,,6901586103557,威猛先生厨房重油污静500g,,威猛先生,清洁洗护,清洁护理,日化用品,厨房清洁,油污清洁剂,,40,0,上线,不限购,标品,500
15761343750740964,,6923450656150,益达木糖醇无糖口香糖清爽草莓味56g,,益达,休闲零食,糖果类,休闲食品,糖果类,口香糖,,12,6,上线,不限购,标品,56
15761343720739991,,4051500872518,德雷丝比尔森啤酒500ml,,其他,酒水饮料,酒类,酒,啤酒,黄啤,,14.4,32,上线,不限购,非标品,500
15761343750740792,,6902022137297,蓝月亮薰衣草亮白增艳洗衣液3kg,,蓝月亮,清洁洗护,清洁护理,日化用品,衣物清洁/护理,洗衣液,,62,0,上线,不限购,标品,3000
15761343780741792,,6921317989366,康师傅冰糖雪梨500ml,,其他,酒水饮料,综合饮料,饮料,果汁饮料,单种果汁饮料,,3.5,24,上线,不限购,非标品,500
15761343730740254,,6922307205527,崂山苏打水玻璃瓶330ml,,崂山,酒水饮料,矿泉水,饮料,碳酸饮料,苏打水/气泡水,,5,42,上线,不限购,标品,330
15761343750740804,,6920907805086,好丽友木糖醇无糖口香糖热带水果味101g,,好丽友,休闲零食,糖果类,休闲食品,糖果类,口香糖,,18,6,上线,不限购,标品,101
15761343750740881,,6917878054766,雀巢咖啡丝滑榛果风味咖啡饮料268ml,,雀巢,酒水饮料,综合饮料,饮料,咖啡饮料,咖啡/可可饮料,,6.5,18,上线,不限购,标品,268
15761343780741704,,6917878054780,雀巢咖啡丝滑焦糖风味咖啡饮料268ml,,雀巢,酒水饮料,综合饮料,饮料,咖啡饮料,咖啡/可可饮料,,6.5,14,上线,不限购,标品,268
15761343680737047,,6944500272038,玲珑王小叶茶红茶6号120g,,其他,酒水饮料,冲调饮品,其他,其他,其他,,432,0,上线,不限购,非标品,120
15761343780741696,,6956416205956,美汁源果粒橙420ml,,美汁源,酒水饮料,综合饮料,饮料,果汁饮料,单种果汁饮料,,4,22,上线,不限购,标品,420
15761343780741798,,69025143,益达木糖醇无糖口香糖香浓蜜瓜味56g,,益达,休闲零食,糖果类,休闲食品,糖果类,口香糖,,12,3,上线,不限购,标品,56
15761343730740265,,6924531611587,长城\FD-1重负荷发动机冷却液9kg10L塑,,其他,日用百货,,汽车用品,其他类汽车用品,其他汽车用品,,108,0,上线,不限购,非标品,9000
15761343780741851,,6941241592265,天下第一村黑芝麻味黄金酥黑芝麻150g,,天下第一村,休闲零食,饼干点心,粮油米面,杂粮粗粮,芝麻,,12,10,上线,不限购,非标品,150
15761343750740794,,6903252074529,康师傅西红柿打卤面(袋装)112g,,康师傅,方便食品,方便面/粉丝,便利食品,方便速食,方便面,,3,34,上线,不限购,标品,112
15761343750740958,,6902083881559,娃哈哈木糖醇营养八宝粥360g,,娃哈哈,方便食品,方便粥饭汤,便利食品,方便速食,速食粥,,4.5,22,上线,不限购,标品,360
15761343680736798,,6944500272151,玲珑王小叶茶绿茶6号120g,,其他,酒水饮料,冲调饮品,饮料,茶饮料,绿茶饮料,,432,0,上线,不限购,非标品,120
15761343760741173,,6922307205091,崂山可乐汽水500ml,,崂山,酒水饮料,综合饮料,饮料,碳酸饮料,可乐,,3,25,上线,不限购,标品,500
15761343750740866,,6925303714840,统一汤达人日式豚骨拉面(碗装)125g,,统一,方便食品,方便面/粉丝,便利食品,方便速食,方便面,,8.5,8,上线,不限购,标品,125
15761343750741093,,6901009101832,梅林美味午餐肉罐头340g,,梅林,方便食品,泡面伴侣,便利食品,罐头,肉类罐头,,22,0,上线,不限购,标品,340
15761343750741064,,6944500272281,玲珑王扶农茶·玲珑红茶160g,,其他,酒水饮料,冲调饮品,其他,其他,其他,,105,0,上线,不限购,非标品,160
15761343740740735,,6907992100272,伊利纯牛奶250ml,,伊利,乳品饮料,,乳制品,常温奶,常温全脂牛奶,,3.6,40,上线,不限购,标品,250
15761343750741104,,6970711660043,水杉未加碘食用盐350g,,水杉,粮油副食,调味料,调味品,调味料,食用盐,,2,57,上线,不限购,非标品,350
15761343780741780,,6955748500074,易捷卓玛泉西藏天然冰川水4L,,易捷,酒水饮料,矿泉水,饮料,饮用水,矿泉水,,14,67,上线,不限购,标品,4000
15761343750740994,,6917878048246,雀巢优麦紫薯香芋燕麦片10*35g,,雀巢,酒水饮料,冲调饮品,冲调,冲饮品,冲饮谷物/麦片,,32,3,上线,不限购,标品,350
15761343750741046,,6920907805161,好丽友木糖醇无糖口香糖缤纷水果味101g,,好丽友,休闲零食,糖果类,休闲食品,糖果类,口香糖,,18,5,上线,不限购,标品,101
15761343740740789,,3142920001822,名庄荟教皇圣醇珍酿干红葡萄酒750ml,,其他,酒水饮料,酒类,酒,葡萄酒,红葡萄酒,,285,0,上线,不限购,非标品,750
15761343750740859,,6935538720967,天齐金钱菇100g,,天齐,南北干货,菌菇类,粮油米面,南北干货,干香菇,,31,4,上线,不限购,非标品,100
15761343780741857,,6941241592258,天下第一村板栗味黄金酥板栗味150g,,天下第一村,休闲零食,饼干点心,休闲食品,坚果炒货,栗子,,12,10,上线,不限购,非标品,150
15761343750741077,,6901035618601,青岛啤酒易捷9°600ml,,其他,酒水饮料,酒类,酒,啤酒,黄啤,,6,2416,上线,不限购,非标品,600
15761343730740289,,6901382054251,金六福六福人家38°500ml,,其他,酒水饮料,酒类,水果,水果切盘,四种及以上混合果切,,141,0,上线,不限购,非标品,500
15761343740740790,,6970153970021,炘煜整理箱45L,,其他,日用百货,,居家日用,家庭收纳用品,收纳箱,,95,0,上线,不限购,非标品,500
15761343740740723,,6925911501566,威露士衣物家居消毒液2.5L,,威露士,清洁洗护,清洁护理,日化用品,衣物清洁/护理,衣物除菌剂,,90,0,上线,不限购,标品,2500
15761343700738289,,7804320279008,名庄荟梦坡家园赤霞珠干红葡萄酒750ml,,远山,酒水饮料,酒类,酒,葡萄酒,红葡萄酒,,225,0,上线,不限购,标品,750
